\,PopulationEstimate,MyStates,Protest
Alaska,731545,Other,FALSE
American Samoa,55641,Other,FALSE
Arizona,7278717,Other,FALSE
Arkansas,3017825,Other,FALSE
California,39512223,Bad,FALSE
Colorado,5758736,Other,TRUE
Connecticut,3565287,Other,FALSE
Delaware,973764,Other,FALSE
District of Columbia,705749,Other,FALSE
Florida,21477737,My States,FALSE
Georgia,10617423,Other,TRUE
Guam,165718,Other,FALSE
Hawaii,1415872,Other,FALSE
Idaho,1792065,Other,FALSE
Illinois,12671821,My States,FALSE
Indiana,6732219,My States,FALSE
Iowa,3155070,Other,FALSE
Kansas,2913314,Other,FALSE
Kentucky,4467673,My States,FALSE
Louisiana,4648794,Other,FALSE
Maine,1344212,Other,FALSE
Maryland,6045680,Other,FALSE
Massachusetts,6949503,Other,FALSE
Michigan,9986857,Bad,TRUE
Minnesota,5639632,Other,FALSE
Mississippi,2976149,Other,FALSE
Missouri,6137428,Other,FALSE
Montana,1068778,Other,FALSE
Nebraska,1934408,My States,FALSE
Nevada,3080156,Other,FALSE
New Hampshire,1359711,Other,FALSE
New Jersey,8882190,Bad,FALSE
New Mexico,2096829,Other,FALSE
New York,19453561,Bad,FALSE
North Carolina,10488084,Other,FALSE
North Dakota,762062,Other,FALSE
Northern Mariana Islands,55194,Other,FALSE
Ohio,11689100,My States,FALSE
Oklahoma,3956971,Other,FALSE
Oregon,4217737,Other,FALSE
Pennsylvania,12801989,Other,FALSE
Puerto Rico,3193694,Other,FALSE
Rhode Island,1059361,Other,FALSE
South Carolina,5148714,Other,FALSE
South Dakota,884659,Other,FALSE
Tennessee,6833174,Other,FALSE
Texas,28995881,Other,TRUE
Virgin Islands,104914,Other,FALSE
Utah,3205958,Other,FALSE
Vermont,623989,Other,FALSE
Virginia,8535519,Other,TRUE
Washington,7614893,Other,FALSE
West Virginia,1787147,Other,FALSE
Wisconsin,5822434,Other,FALSE
Wyoming,578759,Other,FALSE
